kommune,kommunenummer,lyn_treff,lyn_per_år,andel (%),areal_km2,lyn_per_km2_per_år
Gran,3446,13378,1337.2508210180624,0.491870243026844,756.65,1.767330761934927
Grane,1825,10310,1030.576765188834,0.379068784990788,2004.11,0.5142316365812426
Gratangen,5516,409,40.88321018062397,0.015037743264910988,312.76,0.13071751560501332
Grimstad,4202,9356,935.2159277504105,0.34399297307214477,303.58,3.0806243090796843
Grong,5045,8499,849.5511083743842,0.3124835697028814,1136.1599999999999,0.7477389701929167
Grue,3417,18339,1833.1471674876846,0.6742718184234783,837.17,2.1896952440814705
Gulen,4635,3935,393.3384646962233,0.14467853238979153,599.41,0.6562093803844169
Guovdageaidnu - Kautokeino,5612,132301,13224.668924466338,4.864323891665009,9707.35,1.3623356451004998
Gáivuotna - Kåfjord - Kaivuono,5540,3058,305.67446633825944,0.11243378705158387,991.15,0.3084038403251369
Hadsel,1866,530,52.978243021346465,0.01948656217702402,566.68,0.09348881735961471
Halden,3101,11419,1141.4312397372742,0.41984349716874964,642.48,1.7766019794192414
